Recorte,Código IBGE,Município,Unidade de Gerenciamento de Recursos Hídricos (UGRHI) ,Região Administrativa,Região de Governo,Região Metropolitana,Aglomerações Urbanas
EMPLASA e DAEE,3509601,Campo Limpo Paulista,"05 - Piracicaba/Capivari/Jundiaí
",Região Administrativa de Campinas,Região de Governo de Jundiaí,-,Aglomeração Urbana de Jundiaí
EMPLASA e DAEE,3509502,Campinas,05 - Piracicaba/Capivari/Jundiaí ,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
DAEE,3531209,Monte Alegre do Sul,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Bragança Paulista,-,-
EMPLASA e DAEE,3503901,Arujá,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3505708,Barueri,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3506607,Biritiba-Mirim,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3509007,Caieiras,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3509205,Cajamar,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3510609,Carapicuíba,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3513009,Cotia,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3513801,Diadema,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3515004,Embu das Artes,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3515103,Embu-Guaçu,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3515707,Ferraz de Vasconcelos,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
DAEE,3537503,Pereiras,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Botucatu,-,-
EMPLASA e DAEE,3516309,Francisco Morato,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3516408,Franco da Rocha,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3518800,Guarulhos,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3522208,Itapecerica da Serra,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3522505,Itapevi,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3523107,Itaquaquecetuba,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3525003,Jandira,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3528502,Mairiporã,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3529401,Mauá,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3530607,Mogi das Cruzes,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
DAEE,3540507,Porangaba,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Botucatu,-,-
EMPLASA e DAEE,3534401,Osasco,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3539103,Pirapora do Bom Jesus,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3539806,Poá,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
DAEE,3541653,Quadra,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,-,-
EMPLASA e DAEE,3543303,Ribeirão Pires,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3544103,Rio Grande da Serra,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3545001,Salesópolis,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3547304,Santana de Parnaíba,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3547809,Santo André,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3548708,São Bernardo do Campo,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3548807,São Caetano do Sul,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3550308,São Paulo,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3552502,Suzano,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3552809,Taboão da Serra,06 - Alto Tietê,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3506359,Bertioga,07 - Baixada Santista,Região Administrativa de Santos,Região de Governo de Santos,Região Metropolitana da Baixada Santista,-
EMPLASA e DAEE,3513504,Cubatão,07 - Baixada Santista,Região Administrativa de Santos,Região de Governo de Santos,Região Metropolitana da Baixada Santista,-
EMPLASA e DAEE,3518701,Guarujá,07 - Baixada Santista,Região Administrativa de Santos,Região de Governo de Santos,Região Metropolitana da Baixada Santista,-
EMPLASA e DAEE,3522109,Itanhaém,07 - Baixada Santista,Região Administrativa de Santos,Região de Governo de Santos,Região Metropolitana da Baixada Santista,-
EMPLASA e DAEE,3531100,Mongaguá,07 - Baixada Santista,Região Administrativa de Santos,Região de Governo de Santos,Região Metropolitana da Baixada Santista,-
EMPLASA e DAEE,3537602,Peruíbe,07 - Baixada Santista,Região Administrativa de Santos,Região de Governo de Santos,Região Metropolitana da Baixada Santista,-
EMPLASA e DAEE,3541000,Praia Grande,07 - Baixada Santista,Região Administrativa de Santos,Região de Governo de Santos,Região Metropolitana da Baixada Santista,-
EMPLASA e DAEE,3548500,Santos,07 - Baixada Santista,Região Administrativa de Santos,Região de Governo de Santos,Região Metropolitana da Baixada Santista,-
EMPLASA e DAEE,3551009,São Vicente,07 - Baixada Santista,Região Administrativa de Santos,Região de Governo de Santos,Região Metropolitana da Baixada Santista,-
EMPLASA e DAEE,3503307,Araras,09 - Mogi-Guaçu,Região Administrativa de Campinas,Região de Governo de Limeira,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3512209,Conchal,09 - Mogi-Guaçu,Região Administrativa de Campinas,Região de Governo de Limeira,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3515152,Engenheiro Coelho,09 - Mogi-Guaçu,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3526704,Leme,09 - Mogi-Guaçu,Região Administrativa de Campinas,Região de Governo de Limeira,-,Aglomeração Urbana de Piracicaba
